best_queue,best_throughput_mops,block_size,broker_elapsed_ms,broker_empty_dequeues,broker_num_runs,broker_oracle_ratio,broker_regret_mops,broker_successful_ops,broker_throughput_mops,num_available_queues,ops_per_thread,producer_ratio,sfq_elapsed_ms,sfq_empty_dequeues,sfq_num_runs,sfq_oracle_ratio,sfq_regret_mops,sfq_successful_ops,sfq_throughput_mops,test,threads
sfq,0.0,256,1.99409,4096.0,3,,0.0,0.0,0.0,2,64,0,11.8911,4096.0,3,,0.0,0.0,0.0,balanced,64
broker,1.88026,256,1.70189,896.0,3,1.0,0.0,3200.0,1.88026,2,64,25,11.6615,896.0,3,0.14594151872613362,1.605852,3200.0,0.274408,balanced,64
sfq,2.83279,256,2.10089,0.0,3,0.6882437455653261,0.88314,4096.0,1.94965,2,64,50,1.44592,0.0,3,1.0,0.0,4096.0,2.83279,balanced,64
sfq,2.83609,256,1.98341,0.0,3,0.7281609539894713,0.7709600000000001,4096.0,2.06513,2,64,75,1.44424,0.0,3,1.0,0.0,4096.0,2.83609,balanced,64
sfq,2.83389,256,2.20333,0.0,3,0.65599229327885,0.9748799999999997,4096.0,1.85901,2,64,100,1.44536,0.0,3,1.0,0.0,4096.0,2.83389,balanced,64
sfq,0.0,256,2.05532,16384.0,3,,0.0,0.0,0.0,2,256,0,12.2274,16384.0,3,,0.0,0.0,0.0,balanced,64
broker,3.94042,256,2.43629,6784.0,3,1.0,0.0,9600.0,3.94042,2,256,25,12.1391,9984.0,3,0.13379868135883993,3.4131970000000003,6400.0,0.527223,balanced,64
sfq,8.50956,256,2.72197,0.0,3,0.7073432703923587,2.49038,16384.0,6.01918,2,256,50,1.92536,0.0,3,1.0,0.0,16384.0,8.50956,balanced,64
sfq,8.8608,256,2.82864,0.0,3,0.653684768869628,3.0686299999999997,16384.0,5.79217,2,256,75,1.84904,0.0,3,1.0,0.0,16384.0,8.8608,balanced,64
sfq,9.19375,256,2.63733,0.0,3,0.6757155676410606,2.9813899999999993,16384.0,6.21236,2,256,100,1.78208,0.0,3,1.0,0.0,16384.0,9.19375,balanced,64
sfq,0.0,256,2.36584,65536.0,3,,0.0,0.0,0.0,2,1024,0,14.4421,65536.0,3,,0.0,0.0,0.0,balanced,64
broker,8.4535,256,3.96711,32000.0,3,1.0,0.0,33536.0,8.4535,2,1024,25,14.0648,46400.0,3,0.16094635358135684,7.0929400000000005,19136.0,1.36056,balanced,64
sfq,17.6225,256,4.89001,0.0,3,0.760505036175344,4.2204999999999995,65536.0,13.402,2,1024,50,3.71888,0.0,3,1.0,0.0,65536.0,17.6225,balanced,64
sfq,17.744,256,4.82641,0.0,3,0.7652502254283138,4.1654,65536.0,13.5786,2,1024,75,3.69341,0.0,3,1.0,0.0,65536.0,17.744,balanced,64
sfq,18.7119,256,4.73758,0.0,3,0.7392728691367525,4.8787,65536.0,13.8332,2,1024,100,3.50237,0.0,3,1.0,0.0,65536.0,18.7119,balanced,64
sfq,0.0,256,1.9274,16384.0,3,,0.0,0.0,0.0,2,64,0,19.7549,16384.0,3,,0.0,0.0,0.0,balanced,256
broker,6.19986,256,2.06456,3584.0,3,1.0,0.0,12800.0,6.19986,2,64,25,20.3892,3584.0,3,0.10125760904278483,5.572077,12800.0,0.627783,balanced,256
sfq,9.13265,256,2.28515,0.0,3,0.7850711458339037,1.9628699999999997,16384.0,7.16978,2,64,50,1.794,0.0,3,1.0,0.0,16384.0,9.13265,balanced,256
sfq,9.1512,256,2.55405,0.0,3,0.7009911268467524,2.7362899999999994,16384.0,6.41491,2,64,75,1.79037,0.0,3,1.0,0.0,16384.0,9.1512,balanced,256
sfq,8.56147,256,2.29141,0.0,3,0.8351568130239316,1.4112999999999998,16384.0,7.15017,2,64,100,1.91369,0.0,3,1.0,0.0,16384.0,8.56147,balanced,256
sfq,0.0,256,2.06189,65536.0,3,,0.0,0.0,0.0,2,256,0,20.0192,65536.0,3,,0.0,0.0,0.0,balanced,256
