agg_method,block_size,elapsed_ms,empty_dequeues,num_runs_aggregated,ops_per_thread,producer_ratio,queue,successful_ops,test,threads,throughput_mops
median,256,1.99409,4096.0,3,64,0,broker,0.0,balanced,64,0.0
median,256,1.70189,896.0,3,64,25,broker,3200.0,balanced,64,1.88026
median,256,2.10089,0.0,3,64,50,broker,4096.0,balanced,64,1.94965
median,256,1.98341,0.0,3,64,75,broker,4096.0,balanced,64,2.06513
median,256,2.20333,0.0,3,64,100,broker,4096.0,balanced,64,1.85901
median,256,2.05532,16384.0,3,256,0,broker,0.0,balanced,64,0.0
median,256,2.43629,6784.0,3,256,25,broker,9600.0,balanced,64,3.94042
median,256,2.72197,0.0,3,256,50,broker,16384.0,balanced,64,6.01918
median,256,2.82864,0.0,3,256,75,broker,16384.0,balanced,64,5.79217
median,256,2.63733,0.0,3,256,100,broker,16384.0,balanced,64,6.21236
median,256,2.36584,65536.0,3,1024,0,broker,0.0,balanced,64,0.0
median,256,3.96711,32000.0,3,1024,25,broker,33536.0,balanced,64,8.4535
median,256,4.89001,0.0,3,1024,50,broker,65536.0,balanced,64,13.402
median,256,4.82641,0.0,3,1024,75,broker,65536.0,balanced,64,13.5786
median,256,4.73758,0.0,3,1024,100,broker,65536.0,balanced,64,13.8332
median,256,1.9274,16384.0,3,64,0,broker,0.0,balanced,256,0.0
median,256,2.06456,3584.0,3,64,25,broker,12800.0,balanced,256,6.19986
median,256,2.28515,0.0,3,64,50,broker,16384.0,balanced,256,7.16978
median,256,2.55405,0.0,3,64,75,broker,16384.0,balanced,256,6.41491
median,256,2.29141,0.0,3,64,100,broker,16384.0,balanced,256,7.15017
median,256,2.06189,65536.0,3,256,0,broker,0.0,balanced,256,0.0
median,256,2.67268,27136.0,3,256,25,broker,38400.0,balanced,256,14.3676
median,256,3.13108,0.0,3,256,50,broker,65536.0,balanced,256,20.9308
median,256,3.20581,0.0,3,256,75,broker,65536.0,balanced,256,20.4429
median,256,3.18758,0.0,3,256,100,broker,65536.0,balanced,256,20.5598
median,256,2.27145,262144.0,3,1024,0,broker,0.0,balanced,256,0.0
median,256,4.67349,127680.0,3,1024,25,broker,134464.0,balanced,256,28.7443
median,256,7.00639,0.0,3,1024,50,broker,262144.0,balanced,256,37.415
median,256,5.9537,0.0,3,1024,75,broker,262144.0,balanced,256,44.0304
median,256,3.64792,0.0,3,1024,100,broker,262144.0,balanced,256,71.8611
median,256,1.92344,65536.0,3,64,0,broker,0.0,balanced,1024,0.0
median,256,2.26609,14336.0,3,64,25,broker,51200.0,balanced,1024,22.594
median,256,2.59068,0.0,3,64,50,broker,65536.0,balanced,1024,25.2968
median,256,2.6134,0.0,3,64,75,broker,65536.0,balanced,1024,25.0769
median,256,2.58944,0.0,3,64,100,broker,65536.0,balanced,1024,25.3089
median,256,1.99121,262144.0,3,256,0,broker,0.0,balanced,1024,0.0
median,256,3.5174,108544.0,3,256,25,broker,153600.0,balanced,1024,43.6687
median,256,4.59093,0.0,3,256,50,broker,262144.0,balanced,1024,57.1004
median,256,3.58015,0.0,3,256,75,broker,262144.0,balanced,1024,73.2216
median,256,2.61884,0.0,3,256,100,broker,262144.0,balanced,1024,100.099
median,256,2.37409,1048580.0,3,1024,0,broker,0.0,balanced,1024,0.0
median,256,8.28435,497280.0,3,1024,25,broker,551296.0,balanced,1024,66.5467
median,256,12.7561,0.0,3,1024,50,broker,1048580.0,balanced,1024,82.2019
median,256,8.81134,0.0,3,1024,75,broker,1048580.0,balanced,1024,119.003
median,256,3.2829,0.0,3,1024,100,broker,1048580.0,balanced,1024,319.406
median,256,1.91721,262144.0,3,64,0,broker,0.0,balanced,4096,0.0
median,256,3.37758,84096.0,3,64,25,broker,178048.0,balanced,4096,52.8473
median,256,3.26182,0.0,3,64,50,broker,262144.0,balanced,4096,80.3675
median,256,2.57129,0.0,3,64,75,broker,262144.0,balanced,4096,101.95
median,256,2.26917,0.0,3,64,100,broker,262144.0,balanced,4096,115.524
median,256,2.02604,1048580.0,3,256,0,broker,0.0,balanced,4096,0.0
