avg_attempted_mops,avg_attempted_ops,avg_chunks_launched,avg_deq_empty,avg_deq_mops,avg_deq_success,avg_elapsed_ms,avg_empty_dequeues,avg_empty_mops,avg_enq_fail,avg_enq_mops,avg_enq_success,avg_fail_mops,avg_successful_ops,avg_throughput_mops,best_throughput_mops,binary,block_size,block_size_requested,chunk_ops,command,deq_empty_rate,enq_fail_rate,gpu_name,ops_per_thread,ops_per_thread_requested,parse_error,parse_ok,producer_ratio,producer_ratio_requested,queue,queue_label_expected,repeat_id,repeats,reset_between_repeats,return_code,run_ms,stderr,stdout,success,success_rate,test,test_requested,threads,threads_requested,timed_out,wall_time_sec,warmup_ms,worst_throughput_mops
31.7405,15876100.0,1938,0,15.8703,7938050.0,500.184,0,0,0,15.8703,7938050.0,0,15876100.0,31.7405,31.7405,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,0,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.184 chunks=1938 enq_success=7938048 enq_fail=0 deq_success=7938048 deq_empty=0 successful_ops=15876096 attempted_ops=15876096 succ_mops=31.7405 attempted_mops=31.7405
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1938,""avg_elapsed_ms"":500.184,""avg_successful_ops"":1.58761e+07,""avg_attempted_ops"":1.58761e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.93805e+06,""avg_enq_fail"":0,""avg_deq_success"":7.93805e+06,""avg_deq_empty"":0,""avg_throughput_mops"":31.7405,""avg_attempted_mops"":31.7405,""avg_enq_mops"":15.8703,""avg_deq_mops"":15.8703,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":31.7405,""worst_throughput_mops"":31.7405,""success"":true}
",True,1,balanced,balanced,64,64,False,1.565293788909912,100,31.7405
31.8025,15908900.0,1942,0,15.9013,7954430.0,500.239,0,0,0,15.9013,7954430.0,0,15908900.0,31.8025,31.8025,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,1,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.239 chunks=1942 enq_success=7954432 enq_fail=0 deq_success=7954432 deq_empty=0 successful_ops=15908864 attempted_ops=15908864 succ_mops=31.8025 attempted_mops=31.8025
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1942,""avg_elapsed_ms"":500.239,""avg_successful_ops"":1.59089e+07,""avg_attempted_ops"":1.59089e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.95443e+06,""avg_enq_fail"":0,""avg_deq_success"":7.95443e+06,""avg_deq_empty"":0,""avg_throughput_mops"":31.8025,""avg_attempted_mops"":31.8025,""avg_enq_mops"":15.9013,""avg_deq_mops"":15.9013,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":31.8025,""worst_throughput_mops"":31.8025,""success"":true}
",True,1,balanced,balanced,64,64,False,1.0164785385131836,100,31.8025
31.8052,15908900.0,1942,0,15.9026,7954430.0,500.196,0,0,0,15.9026,7954430.0,0,15908900.0,31.8052,31.8052,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,2,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.196 chunks=1942 enq_success=7954432 enq_fail=0 deq_success=7954432 deq_empty=0 successful_ops=15908864 attempted_ops=15908864 succ_mops=31.8052 attempted_mops=31.8052
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1942,""avg_elapsed_ms"":500.196,""avg_successful_ops"":1.59089e+07,""avg_attempted_ops"":1.59089e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.95443e+06,""avg_enq_fail"":0,""avg_deq_success"":7.95443e+06,""avg_deq_empty"":0,""avg_throughput_mops"":31.8052,""avg_attempted_mops"":31.8052,""avg_enq_mops"":15.9026,""avg_deq_mops"":15.9026,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":31.8052,""worst_throughput_mops"":31.8052,""success"":true}
",True,1,balanced,balanced,64,64,False,1.015866994857788,100,31.8052
56.9197,28463100.0,6949,28463100.0,0,0,500.058,28463100.0,56.9197,0,0,0,0,0,0,0,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test split_roles --block 256 --repeats 1,1,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,0,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.058 chunks=6949 enq_success=0 enq_fail=0 deq_success=0 deq_empty=28463104 successful_ops=0 attempted_ops=28463104 succ_mops=0 attempted_mops=56.9197
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":6949,""avg_elapsed_ms"":500.058,""avg_successful_ops"":0,""avg_attempted_ops"":2.84631e+07,""avg_empty_dequeues"":2.84631e+07,""avg_enq_success"":0,""avg_enq_fail"":0,""avg_deq_success"":0,""avg_deq_empty"":2.84631e+07,""avg_throughput_mops"":0,""avg_attempted_mops"":56.9197,""avg_enq_mops"":0,""avg_deq_mops"":0,""avg_fail_mops"":0,""avg_empty_mops"":56.9197,""enq_fail_rate"":0,""deq_empty_rate"":1,""success_rate"":0,""best_throughput_mops"":0,""worst_throughput_mops"":0,""success"":true}
",True,0,split_roles,split_roles,64,64,False,1.011643648147583,100,0
55.5751,27791400.0,6785,27791400.0,0,0,500.069,27791400.0,55.5751,0,0,0,0,0,0,0,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test split_roles --block 256 --repeats 1,1,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,1,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.069 chunks=6785 enq_success=0 enq_fail=0 deq_success=0 deq_empty=27791360 successful_ops=0 attempted_ops=27791360 succ_mops=0 attempted_mops=55.5751
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":6785,""avg_elapsed_ms"":500.069,""avg_successful_ops"":0,""avg_attempted_ops"":2.77914e+07,""avg_empty_dequeues"":2.77914e+07,""avg_enq_success"":0,""avg_enq_fail"":0,""avg_deq_success"":0,""avg_deq_empty"":2.77914e+07,""avg_throughput_mops"":0,""avg_attempted_mops"":55.5751,""avg_enq_mops"":0,""avg_deq_mops"":0,""avg_fail_mops"":0,""avg_empty_mops"":55.5751,""enq_fail_rate"":0,""deq_empty_rate"":1,""success_rate"":0,""best_throughput_mops"":0,""worst_throughput_mops"":0,""success"":true}
",True,0,split_roles,split_roles,64,64,False,0.9920294284820557,100,0
55.6688,27836400.0,6796,27836400.0,0,0,500.037,27836400.0,55.6688,0,0,0,0,0,0,0,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test split_roles --block 256 --repeats 1,1,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,2,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.037 chunks=6796 enq_success=0 enq_fail=0 deq_success=0 deq_empty=27836416 successful_ops=0 attempted_ops=27836416 succ_mops=0 attempted_mops=55.6688
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":6796,""avg_elapsed_ms"":500.037,""avg_successful_ops"":0,""avg_attempted_ops"":2.78364e+07,""avg_empty_dequeues"":2.78364e+07,""avg_enq_success"":0,""avg_enq_fail"":0,""avg_deq_success"":0,""avg_deq_empty"":2.78364e+07,""avg_throughput_mops"":0,""avg_attempted_mops"":55.6688,""avg_enq_mops"":0,""avg_deq_mops"":0,""avg_fail_mops"":0,""avg_empty_mops"":55.6688,""enq_fail_rate"":0,""deq_empty_rate"":1,""success_rate"":0,""best_throughput_mops"":0,""worst_throughput_mops"":0,""success"":true}
",True,0,split_roles,split_roles,64,64,False,0.9999933242797852,100,0
31.8118,15908900.0,1942,0,15.9059,7954430.0,500.093,0,0,0,15.9059,7954430.0,0,15908900.0,31.8118,31.8118,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 25 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,25,25,broker,broker,0,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.093 chunks=1942 enq_success=7954432 enq_fail=0 deq_success=7954432 deq_empty=0 successful_ops=15908864 attempted_ops=15908864 succ_mops=31.8118 attempted_mops=31.8118
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":25,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1942,""avg_elapsed_ms"":500.093,""avg_successful_ops"":1.59089e+07,""avg_attempted_ops"":1.59089e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.95443e+06,""avg_enq_fail"":0,""avg_deq_success"":7.95443e+06,""avg_deq_empty"":0,""avg_throughput_mops"":31.8118,""avg_attempted_mops"":31.8118,""avg_enq_mops"":15.9059,""avg_deq_mops"":15.9059,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":31.8118,""worst_throughput_mops"":31.8118,""success"":true}
",True,1,balanced,balanced,64,64,False,0.9956941604614258,100,31.8118
31.7752,15892500.0,1940,0,15.8876,7946240.0,500.153,0,0,0,15.8876,7946240.0,0,15892500.0,31.7752,31.7752,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 25 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,25,25,broker,broker,1,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.153 chunks=1940 enq_success=7946240 enq_fail=0 deq_success=7946240 deq_empty=0 successful_ops=15892480 attempted_ops=15892480 succ_mops=31.7752 attempted_mops=31.7752
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":25,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1940,""avg_elapsed_ms"":500.153,""avg_successful_ops"":1.58925e+07,""avg_attempted_ops"":1.58925e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.94624e+06,""avg_enq_fail"":0,""avg_deq_success"":7.94624e+06,""avg_deq_empty"":0,""avg_throughput_mops"":31.7752,""avg_attempted_mops"":31.7752,""avg_enq_mops"":15.8876,""avg_deq_mops"":15.8876,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":31.7752,""worst_throughput_mops"":31.7752,""success"":true}
",True,1,balanced,balanced,64,64,False,1.0193591117858887,100,31.7752
31.7106,15859700.0,1936,0,15.8553,7929860.0,500.14,0,0,0,15.8553,7929860.0,0,15859700.0,31.7106,31.7106,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 25 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,25,25,broker,broker,2,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.14 chunks=1936 enq_success=7929856 enq_fail=0 deq_success=7929856 deq_empty=0 successful_ops=15859712 attempted_ops=15859712 succ_mops=31.7106 attempted_mops=31.7106
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":25,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1936,""avg_elapsed_ms"":500.14,""avg_successful_ops"":1.58597e+07,""avg_attempted_ops"":1.58597e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.92986e+06,""avg_enq_fail"":0,""avg_deq_success"":7.92986e+06,""avg_deq_empty"":0,""avg_throughput_mops"":31.7106,""avg_attempted_mops"":31.7106,""avg_enq_mops"":15.8553,""avg_deq_mops"":15.8553,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":31.7106,""worst_throughput_mops"":31.7106,""success"":true}
",True,1,balanced,balanced,64,64,False,1.0198068618774414,100,31.7106
,,,,,,,,,,,,,,,,./out/queue_bench_bq,,256,,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 25 --test split_roles --block 256 --repeats 1,,,,,64,Timed out after 120s,False,,25,,broker,0,,,,,,,False,,,split_roles,,64,True,120.12932229042053,,
